method,curve_key,accuracy,correct,n,avg_flops_tflops,pct_lrm_flops,distance_to_ba80_tflops,distance_to_ba80_pct_lrm,regen_ratio,threshold,checkpoint,checkpoint_file,checkpoint_dir,checkpoint_kind,lambda,seed,epoch
TRIM-Agg,ppo_agg,62.0,124,200,360.443933,80.83866454180192,3.739442600000018,0.8386645418019185,0.6680658159838818,0.7575,trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,best,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,360.577633,80.86865014693967,3.873142599999994,0.8686501469396717,0.6841840161182001,0.6722,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,30
TRIM-Agg,ppo_agg,58.5,117,200,360.658693,80.8868299012588,3.9542026000000305,0.8868299012588068,0.8564472800537274,0.70365,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0020.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0020.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,20
TRIM-Agg,ppo_agg,61.5,123,200,360.868973,80.93399050745451,4.164482599999985,0.9339905074545101,0.6813297515110812,0.70785,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,10
TRIM-Agg,ppo_agg,61.5,123,200,361.427573,81.05927067970546,4.723082599999998,1.0592706797054632,0.6680658159838818,0.74775,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,361.427573,81.05927067970546,4.723082599999998,1.0592706797054632,0.6680658159838818,0.74775,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,61.5,123,200,351.534473,78.84049289220835,5.170017400000006,1.1595071077916543,0.6477501678979181,0.70925,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0010.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,10
TRIM-Agg,ppo_agg,62.0,124,200,351.451033,78.82177936271924,5.253457400000002,1.1782206372807593,0.6376762928139691,0.75855,trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,best,0.0,1,
TRIM-Agg,ppo_agg,59.5,119,200,361.966013,81.18002946228118,5.261522599999978,1.1800294622811833,0.8443586299529886,0.3974,trim_agg_omnimath13_to34_point_search_lam1e-4_seed1/epoch_0020.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam1e-4_seed1/epoch_0020.pt,trim_agg_omnimath13_to34_point_search_lam1e-4_seed1,epoch,0.0001,1,20
TRIM-Agg,ppo_agg,61.5,123,200,362.081233,81.20587046021667,5.3767426,1.2058704602166728,0.688885157824043,0.67185,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,30
