dataset_key,dataset_label,method,mw_accuracy,ms_accuracy,ms_avg_target_tokens_per_question,num_sweep_points,num_pareto_points,cpt50_cost,cpt80_cost,cpt95_cost,cpt50_display,cpt80_display,cpt95_display,avg_delta_ibc
MATH,math500/test_100,TRIM-Agg,0.6,0.76,479.99,5,3,14.959999999999997,,,14.96 (3.12%),unreachable,unreachable,25.52081094727163
AIME,aime/test,TRIM-Agg,0.06846473029045644,0.14522821576763487,928.7468879668049,7,3,605.6336692353292,,,605.63 (65.21%),unreachable,unreachable,93.72511574684803
